review_text,sentiment_score,length,verified_purchase,helpful_votes,is_spam
Subscribe now and get rich quick! #0,0.4043931974736502,36,1,2,1
"Cheap material, broke within a week. #1",0.5345939615911653,39,1,8,0
"Five stars, will buy again! #2",0.647323986580114,30,1,3,0
"Waste of money, avoid at all costs. #3",0.7657482860198499,38,0,6,0
Absolutely love this product! #4,0.40979477627691874,32,0,1,0
Exceeded my expectations in every way. #5,0.41439614885825965,41,0,3,0
Absolutely love this product! #6,0.45536555180542615,32,0,2,0
"Cheap material, broke within a week. #7",0.7058321654939255,39,0,1,0
Does not match the description. #8,0.511408336935792,34,0,2,0
Absolutely love this product! #9,0.9331759482782382,32,1,3,0
Click here to win a free iPhone! #10,0.4677983667610598,36,1,4,1
"Waste of money, avoid at all costs. #11",0.8526971214835489,39,0,2,0
Customer support was very helpful. #12,0.32139389961829623,38,0,2,0
Product stopped working after two days. #13,0.22203058678854948,43,0,3,0
"Cheap material, broke within a week. #14",0.47971422136396874,40,1,5,0
Absolutely love this product! #15,0.7278773861032325,33,0,3,0
"Waste of money, avoid at all costs. #16",0.40460412213545244,39,0,3,0
Absolutely love this product! #17,0.3766926145743489,33,0,2,0
Customer support was very helpful. #18,0.7050029392229911,38,1,1,0
Fast delivery and amazing quality. #19,0.6410199473809475,38,1,3,0
Congratulations! You've won a gift card. #20,0.34151696966002376,44,0,4,1
Product stopped working after two days. #21,0.32982273999444195,43,1,2,0
"Terrible service, not recommended. #22",0.6658584222683763,38,1,1,0
"Waste of money, avoid at all costs. #23",0.17362588337340368,39,1,5,0
Does not match the description. #24,0.7159047032100339,35,0,2,0
"Five stars, will buy again! #25",0.6383657582623471,31,0,2,0
"Five stars, will buy again! #26",0.04381757835843203,31,1,5,0
Fast delivery and amazing quality. #27,0.5031136549625207,38,1,1,0
"Five stars, will buy again! #28",0.10422636797198076,31,1,3,0
"Cheap material, broke within a week. #29",0.2589821667272491,40,0,6,0
Earn $5000 working from home. Click now! #30,0.3994057978186744,44,1,4,1
"Five stars, will buy again! #31",0.2464422871476692,31,1,6,0
Exceeded my expectations in every way. #32,0.9436321810888451,42,0,0,0
Fast delivery and amazing quality. #33,0.6728116107228358,38,1,3,0
Does not match the description. #34,0.7734878086326121,35,1,5,0
Does not match the description. #35,0.47194269833036334,35,0,3,0
"Cheap material, broke within a week. #36",0.5060934813608008,40,1,4,0
Fast delivery and amazing quality. #37,0.8161454084797033,38,1,1,0
Absolutely love this product! #38,0.5867464788056038,33,1,7,0
"Five stars, will buy again! #39",0.6224483602895552,31,1,2,0
Check out this unbelievable offer! #40,0.3177640829712802,38,0,4,1
Fast delivery and amazing quality. #41,0.31683763916489505,38,0,4,0
"Terrible service, not recommended. #42",0.5522079965173814,38,0,1,0
Absolutely love this product! #43,0.5745938674419149,33,1,3,0
"Cheap material, broke within a week. #44",0.3005817751469309,40,0,3,0
Fast delivery and amazing quality. #45,0.571691393245571,38,0,6,0
Exceeded my expectations in every way. #46,0.2556660795513571,42,1,4,0
"Terrible service, not recommended. #47",0.5027660399447395,38,0,3,0
Product stopped working after two days. #48,0.21250254089856574,43,1,3,0
"Terrible service, not recommended. #49",0.7655981176367903,38,1,3,0
Get followers instantly! Click here! #50,0.43775557627304423,40,1,3,1
Customer support was very helpful. #51,0.36128629809639423,38,0,4,0
Fast delivery and amazing quality. #52,0.2708523433895897,38,0,3,0
"Five stars, will buy again! #53",0.251602928010368,31,1,1,0
"Waste of money, avoid at all costs. #54",0.5872820477374749,39,0,4,0
"Five stars, will buy again! #55",0.7007603779271065,31,1,5,0
Exceeded my expectations in every way. #56,0.6807465568596821,42,0,5,0
Absolutely love this product! #57,0.7793183125044496,33,0,3,0
"Cheap material, broke within a week. #58",0.8496360916138519,40,0,3,0
Fast delivery and amazing quality. #59,0.6915853730672475,38,0,5,0
Earn $5000 working from home. Click now! #60,0.3994214282473335,44,0,3,1
"Five stars, will buy again! #61",0.5338962094841226,31,1,2,0
Customer support was very helpful. #62,0.04860692310466069,38,0,3,0
Does not match the description. #63,0.6275160275563624,35,0,1,0
Does not match the description. #64,0.5298531020786595,35,0,4,0
"Cheap material, broke within a week. #65",0.8190456091806895,40,0,5,0
Product stopped working after two days. #66,0.35132814767487697,43,0,3,0
Fast delivery and amazing quality. #67,0.6031031268030186,38,1,3,0
Absolutely love this product! #68,0.2993311872507826,33,1,1,0
"Terrible service, not recommended. #69",0.477993315148058,38,1,2,0
Earn $5000 working from home. Click now! #70,0.17294682280202622,44,0,2,1
Product stopped working after two days. #71,0.7712092693262884,43,0,6,0
Customer support was very helpful. #72,0.7105298777295521,38,1,5,0
Exceeded my expectations in every way. #73,0.4054631223126016,42,1,4,0
Fast delivery and amazing quality. #74,0.5523670641143075,38,1,6,0
Does not match the description. #75,0.5076971056681854,35,1,4,0
Does not match the description. #76,0.37752124305573714,35,0,1,0
"Terrible service, not recommended. #77",0.5246387322729595,38,1,6,0
Fast delivery and amazing quality. #78,0.41144568866276066,38,0,2,0
Fast delivery and amazing quality. #79,0.6960677340435527,38,1,2,0
Earn $5000 working from home. Click now! #80,0.45783833509875776,44,0,3,1
"Cheap material, broke within a week. #81",0.9781070954291717,40,0,5,0
"Waste of money, avoid at all costs. #82",0.48443044369113525,39,0,3,0
"Terrible service, not recommended. #83",0.5225541490170136,38,1,3,0
Does not match the description. #84,0.6056317043423366,35,0,1,0
"Cheap material, broke within a week. #85",0.6674102008471046,40,0,2,0
Fast delivery and amazing quality. #86,0.5155948923637464,38,1,3,0
Absolutely love this product! #87,0.6012758997389325,33,1,1,0
"Five stars, will buy again! #88",0.5365607928340254,31,1,1,0
Exceeded my expectations in every way. #89,0.3442834708507686,42,1,4,0
Click to claim your free rewards! #90,0.29036994004397265,37,1,2,1
Absolutely love this product! #91,0.6398495244304121,33,1,4,0
"Five stars, will buy again! #92",0.803446205002049,31,0,4,0
Fast delivery and amazing quality. #93,0.1738093573415389,38,0,1,0
"Five stars, will buy again! #94",0.21308752430642053,31,1,3,0
Does not match the description. #95,0.21115573594865183,35,1,3,0
"Cheap material, broke within a week. #96",0.6550289101222861,40,0,1,0
Absolutely love this product! #97,0.6717205913248998,33,0,3,0
Absolutely love this product! #98,0.30473213614904593,33,0,2,0
Fast delivery and amazing quality. #99,0.9411572705354796,38,1,5,0
"Limited time deal, don’t miss out! #100",0.4230066942383102,39,0,5,1
"Five stars, will buy again! #101",0.7871289440198437,32,0,6,0
Does not match the description. #102,0.6617081516644386,36,1,3,0
Customer support was very helpful. #103,0.308379837267561,39,1,2,0
Absolutely love this product! #104,0.41639346106297226,34,1,1,0
Fast delivery and amazing quality. #105,0.32551656947612384,39,0,2,0
Does not match the description. #106,0.23113614047868236,36,1,1,0
Exceeded my expectations in every way. #107,0.4493557446766813,43,0,3,0
Exceeded my expectations in every way. #108,0.26027996960741184,43,0,4,0
Absolutely love this product! #109,0.46501052780082175,34,1,4,0
